Average Time taken to sort results_datasize_500_mean_1.0_variance_0.25.csv: 65.4426 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.25.csv: 0.4495 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.25.csv: 99.3702 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.5.csv: 60.7212 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.5.csv: 0.7222 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.5.csv: 107.012 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.75.csv: 69.5746 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.75.csv: 1.3789 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.75.csv: 125.0687 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.25.csv: 67.9723 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.25.csv: 0.4317 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.25.csv: 106.6583 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.5.csv: 64.0699 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.5.csv: 0.3872 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.5.csv: 113.2002 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.75.csv: 59.9436 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.75.csv: 0.3539 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.75.csv: 91.4835 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.25.csv: 60.3537 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.25.csv: 0.7258 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.25.csv: 172.2801 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.5.csv: 97.9277 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.5.csv: 0.5674 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.5.csv: 145.4584 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.75.csv: 70.1251 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.75.csv: 0.4791 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.75.csv: 158.0244 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.25.csv: 1.0014 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.25.csv: 0.0593 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.25.csv: 1.2734 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.5.csv: 1.0583 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.5.csv: 0.0391 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.5.csv: 1.2625 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.75.csv: 0.7521 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.75.csv: 0.0931 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.75.csv: 1.8846 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.25.csv: 1.0809 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.25.csv: 0.0348 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.25.csv: 1.5678 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.5.csv: 0.7215 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.5.csv: 0.035 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.5.csv: 1.321 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.75.csv: 0.9198 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.75.csv: 0.0359 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.75.csv: 5.3124 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_3.0_variance_0.25.csv: 0.5296 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_3.0_variance_0.25.csv: 0.0268 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_3.0_variance_0.25.csv: 0.7402 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_3.0_variance_0.5.csv: 0.5919 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_3.0_variance_0.5.csv: 0.0234 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_3.0_variance_0.5.csv: 0.6977 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_3.0_variance_0.75.csv: 0.544 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_3.0_variance_0.75.csv: 0.024 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_3.0_variance_0.75.csv: 0.8783 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_1.0_variance_0.25.csv: 3.9439 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_1.0_variance_0.25.csv: 0.0867 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_1.0_variance_0.25.csv: 10.5421 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_1.0_variance_0.5.csv: 4.0108 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_1.0_variance_0.5.csv: 0.0974 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_1.0_variance_0.5.csv: 3.3885 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_1.0_variance_0.75.csv: 4.5963 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_1.0_variance_0.75.csv: 0.0638 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_1.0_variance_0.75.csv: 8.055 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_2.0_variance_0.25.csv: 2.6633 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_2.0_variance_0.25.csv: 0.0564 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_2.0_variance_0.25.csv: 4.7251 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_2.0_variance_0.5.csv: 2.2554 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_2.0_variance_0.5.csv: 0.0888 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_2.0_variance_0.5.csv: 7.5432 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_2.0_variance_0.75.csv: 2.054 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_2.0_variance_0.75.csv: 0.0591 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_2.0_variance_0.75.csv: 4.7717 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_3.0_variance_0.25.csv: 2.4941 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_3.0_variance_0.25.csv: 0.0581 milliseconds
